,Appliances,lights,T1,T2,T3,T4,T5,T6,T7,T8,T9,T_out,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,RH_out,Press_mm_hg,Windspeed,Visibility,Tdewpoint
Appliances,1.0,0.1972775602062424,0.05544747185203501,0.12007328289803465,0.08505990236568402,0.040280983010929486,0.01975986058874139,0.11763768942238377,0.025801044619657935,0.03957198109559453,0.010010284644667997,0.0991546507399615,0.08603142531155053,-0.060464760027120014,0.0362917211535322,0.016965431418944472,0.006954536262417769,-0.08317760704200591,-0.15228238090915153,-0.03488482908163348,0.08712210591235872,0.00023035785547196032,0.015353010487474106
lights,0.1972775602062424,1.0,-0.02352808112663379,-0.005621657368849901,-0.09739307103873014,-0.008858726051922089,-0.07874458942179237,-0.07902880918902278,-0.1353473742571372,-0.07145773125088288,-0.15759240705013317,-0.07442418193503154,0.10696810884636336,0.05098502302887341,0.13116052964423755,0.11493570642535489,0.1412333206403196,0.15375647206660534,0.06854282202144363,-0.010576423911593733,0.06028102824772736,0.020037737354785486,-0.03632241356800658
T1,0.05544747185203501,-0.02352808112663379,1.0,0.8368339903785945,0.8924022851105754,0.8770010621969532,0.8852468734266602,0.6547687304502721,0.8387050284258858,0.825413308129615,0.8447766103101741,0.6828459090771768,0.16400578895208826,-0.0025088487730021147,-0.028550220694016883,0.09786123679310452,-0.014781878118284705,-0.6150449384003646,-0.3454814775151725,-0.1505744533887912,-0.08765351300747287,-0.07620991814109783,0.5713094157302423
T2,0.12007328289803465,-0.005621657368849901,0.8368339903785945,1.0,0.7352454692196038,0.7620660478538379,0.7205501889149234,0.8011860477351915,0.6636600890691711,0.5781908403180853,0.6755345941979412,0.7922546032932134,0.26983924493302097,-0.16561004190967904,0.12149666815580248,0.23156287197887765,0.029595202926186687,-0.5803718048873551,-0.5052908239489737,-0.13302829910231465,0.052495134145851226,-0.06972135720047695,0.5826021417978666
T3,0.08505990236568402,-0.09739307103873014,0.8924022851105754,0.7352454692196038,1.0,0.8527777303850504,0.8881689127749759,0.6868824798505869,0.8473741470985815,0.795283494981417,0.9013235850825604,0.6994171099841396,0.25322995201721915,0.13731870680477606,-0.011233893942441796,0.12273738126399701,-0.06635521800516202,-0.6476722499377799,-0.28171773426254476,-0.18997441258960063,-0.10077560548524914,-0.1023097846208759,0.645886475859461
T4,0.040280983010929486,-0.008858726051922089,0.8770010621969532,0.7620660478538379,0.8527777303850504,1.0,0.8718134776269167,0.65234969720699,0.877762882429971,0.7962558482817511,0.8894391511402583,0.663478262171554,0.1061795442351631,-0.04730409819409793,-0.14045723537408292,-0.04865036334244755,-0.07648930117178265,-0.7031486012583833,-0.38860240796399453,-0.07529188425772125,-0.1857465445450261,-0.10476838958537305,0.5194707732679614
T5,0.01975986058874139,-0.07874458942179237,0.8852468734266602,0.7205501889149234,0.8881689127749759,0.8718134776269167,1.0,0.6291606101289403,0.8706241968592912,0.8249806020628772,0.9110551178067855,0.6513213181116352,0.20579698676680325,0.11040933311851975,-0.05006247247854099,0.09181191671960504,0.03278555543551598,-0.632383796306984,-0.2739528273259489,-0.1709988564519676,-0.14501121984488172,-0.08416448735231807,0.5883619181608588
T6,0.11763768942238377,-0.07902880918902278,0.6547687304502721,0.8011860477351915,0.6868824798505869,0.65234969720699,0.6291606101289403,1.0,0.6190848603193365,0.48283550560925337,0.6671769929733978,0.9747866900664598,0.3161412872331142,-0.009670311861613712,0.07683302476895588,0.25904723999267093,-0.07833716079243888,-0.6721369963489536,-0.5691189619341203,-0.14164279101055438,0.16918510273684687,-0.08131270248786258,0.7642419818321431
T7,0.025801044619657935,-0.1353473742571372,0.8387050284258858,0.6636600890691711,0.8473741470985815,0.877762882429971,0.8706241968592912,0.6190848603193365,1.0,0.8821232262844159,0.9447764235687458,0.6312925784638098,0.02139703322447169,-0.051421840376701326,-0.25009046681598757,-0.1312036108797938,-0.1428233424565077,-0.753972973873944,-0.4112132498070799,-0.09772387417595493,-0.1858920468288365,-0.11008852210731415,0.46662494899473267
T8,0.03957198109559453,-0.07145773125088288,0.825413308129615,0.5781908403180853,0.795283494981417,0.7962558482817511,0.8249806020628772,0.48283550560925337,0.8821232262844159,1.0,0.8693377167311719,0.5028421388841632,-0.030053032084008842,-0.04102325271034626,-0.28322803432804305,-0.16706634632280296,-0.08699060699823542,-0.6658689553132099,-0.3004375415718117,-0.16285462654162594,-0.21887597772905498,-0.06009811135770033,0.39180965474115126
