building_id,site_id,primary_use,square_feet,year_built,floor_count,occupancy
0,0,Lodging/residential,20795,2008,4,91
1,1,Lodging/residential,49732,2000,3,94
2,2,Lodging/residential,26962,2003,6,119
3,3,Lodging/residential,21023,1982,7,72
4,4,Lodging/residential,5769,2003,5,177
5,5,Lodging/residential,7433,2007,6,180
6,6,Lodging/residential,24769,2001,6,108
7,7,Lodging/residential,46434,2006,3,34
8,8,Lodging/residential,5189,2009,7,70
9,9,Lodging/residential,6899,2002,5,83
10,10,Lodging/residential,16394,1984,4,154
11,11,Lodging/residential,35740,1988,3,151
12,12,Lodging/residential,13792,2007,7,28
13,13,Lodging/residential,28897,2000,3,103
14,14,Lodging/residential,28483,1986,5,27
15,15,Lodging/residential,49974,1982,7,100
16,16,Lodging/residential,31531,1997,5,21
17,17,Lodging/residential,6021,1985,7,125
18,18,Lodging/residential,45757,2008,3,63
19,19,Lodging/residential,5161,1989,7,33
20,20,Lodging/residential,37606,1995,7,59
21,21,Lodging/residential,29276,1995,6,101
22,22,Lodging/residential,22262,2000,3,143
23,23,Lodging/residential,44976,2008,6,84
24,24,Lodging/residential,45774,1988,2,155
25,25,Lodging/residential,10258,1998,2,155
26,26,Lodging/residential,18986,1982,2,142
27,27,Lodging/residential,43660,1989,3,60
28,28,Lodging/residential,27662,1988,5,181
29,29,Lodging/residential,28599,2002,7,56
