timestamp,building_id,meter_reading,airTemperature,cloudCoverage,dewTemperature,seaLvlPressure,windSpeed,hour,day_of_week,month,day_of_year,sqm,yearbuilt,climate_zone
2016-01-01 00:00:00,Hog_lodging_Shanti,215.85,-7.2,8.0,-10.6,1022.9,5.7,0,5,1,1,24355.1,,Cold
2016-01-01 01:00:00,Hog_lodging_Shanti,215.85,-6.7,7.666666666666667,-10.0,1022.5,4.1,1,5,1,1,24355.1,,Cold
2016-01-01 02:00:00,Hog_lodging_Shanti,200.3,-6.7,7.333333333333333,-9.4,1022.1,2.6,2,5,1,1,24355.1,,Cold
2016-01-01 03:00:00,Hog_lodging_Shanti,196.328,-6.7,7.0,-9.4,1022.0,3.6,3,5,1,1,24355.1,,Cold
2016-01-01 04:00:00,Hog_lodging_Shanti,196.504,-8.3,7.0,-11.7,1021.9,6.7,4,5,1,1,24355.1,,Cold
2016-01-01 05:00:00,Hog_lodging_Shanti,210.41,-8.3,7.0,-11.7,1021.3,3.6,5,5,1,1,24355.1,,Cold
2016-01-01 06:00:00,Hog_lodging_Shanti,217.772,-8.9,6.0,-12.2,1020.3,5.1,6,5,1,1,24355.1,,Cold
2016-01-01 07:00:00,Hog_lodging_Shanti,207.153,-9.4,5.333333333333333,-11.7,1019.5,3.6,7,5,1,1,24355.1,,Cold
2016-01-01 08:00:00,Hog_lodging_Shanti,204.311,-8.9,4.666666666666667,-11.7,1019.4,2.1,8,5,1,1,24355.1,,Cold
2016-01-01 09:00:00,Hog_lodging_Shanti,204.126,-8.3,4.0,-11.1,1018.9,3.6,9,5,1,1,24355.1,,Cold
2016-01-01 10:00:00,Hog_lodging_Shanti,212.304,-6.7,4.0,-10.6,1017.9,6.2,10,5,1,1,24355.1,,Cold
2016-01-01 11:00:00,Hog_lodging_Shanti,212.497,-5.6,4.0,-10.0,1017.4,6.2,11,5,1,1,24355.1,,Cold
2016-01-01 12:00:00,Hog_lodging_Shanti,206.677,-2.8,2.0,-8.9,1017.1,5.1,12,5,1,1,24355.1,,Cold
2016-01-01 13:00:00,Hog_lodging_Shanti,197.827,-1.7,0.0,-8.3,1016.0,5.7,13,5,1,1,24355.1,,Cold
2016-01-01 14:00:00,Hog_lodging_Shanti,195.695,-1.1,0.0,-7.8,1015.8,7.7,14,5,1,1,24355.1,,Cold
2016-01-01 15:00:00,Hog_lodging_Shanti,205.961,-1.1,0.0,-7.8,1016.4,5.7,15,5,1,1,24355.1,,Cold
2016-01-01 16:00:00,Hog_lodging_Shanti,206.784,-1.7,0.0,-8.3,1017.7,7.2,16,5,1,1,24355.1,,Cold
2016-01-01 17:00:00,Hog_lodging_Shanti,200.14,-2.8,0.0,-8.3,1018.3,4.6,17,5,1,1,24355.1,,Cold
2016-01-01 18:00:00,Hog_lodging_Shanti,201.703,-3.3,0.0,-8.3,1019.2,4.1,18,5,1,1,24355.1,,Cold
