timestamp,building_id,meter_reading,airTemperature,cloudCoverage,dewTemperature,seaLvlPressure,windSpeed,hour,day_of_week,month,day_of_year,sqm,yearbuilt,climate_zone
2016-05-20 18:00:00,Panther_lodging_Marisol,134.1759,27.2,5.0,19.4,1016.7,0.0,18,5,5,141,18667.3,2007.0,Hot-Humid
2016-05-20 19:00:00,Panther_lodging_Marisol,178.4344,26.7,6.0,19.4,1017.5,0.0,19,5,5,141,18667.3,2007.0,Hot-Humid
2016-05-20 20:00:00,Panther_lodging_Marisol,177.0342,25.6,6.333333333333333,20.6,1017.9,0.0,20,5,5,141,18667.3,2007.0,Hot-Humid
2016-05-20 21:00:00,Panther_lodging_Marisol,185.9859,26.1,6.666666666666667,20.0,1018.3,1.5,21,5,5,141,18667.3,2007.0,Hot-Humid
2016-05-20 22:00:00,Panther_lodging_Marisol,180.4848,25.0,7.0,20.6,1018.3,0.0,22,5,5,141,18667.3,2007.0,Hot-Humid
2016-05-20 23:00:00,Panther_lodging_Marisol,171.5331,25.0,7.0,20.6,1018.6,1.5,23,5,5,141,18667.3,2007.0,Hot-Humid
2016-05-21 00:00:00,Panther_lodging_Marisol,174.3336,23.9,7.0,20.6,1018.2,4.1,0,6,5,142,18667.3,2007.0,Hot-Humid
2016-05-21 01:00:00,Panther_lodging_Marisol,170.6829,23.3,8.0,20.6,1017.7,1.5,1,6,5,142,18667.3,2007.0,Hot-Humid
2016-05-21 02:00:00,Panther_lodging_Marisol,173.7835,22.8,7.666666666666667,21.1,1015.1,5.1,2,6,5,142,18667.3,2007.0,Hot-Humid
2016-05-21 03:00:00,Panther_lodging_Marisol,164.5818,22.8,7.333333333333333,21.1,1015.0,2.1,3,6,5,142,18667.3,2007.0,Hot-Humid
2016-05-21 04:00:00,Panther_lodging_Marisol,163.5316,22.8,7.0,21.1,1015.1,0.0,4,6,5,142,18667.3,2007.0,Hot-Humid
2016-05-21 05:00:00,Panther_lodging_Marisol,176.6341,23.3,7.0,21.7,1015.9,0.0,5,6,5,142,18667.3,2007.0,Hot-Humid
