building_id,site_id,building_id_kaggle,site_id_kaggle,primaryspaceusage,sub_primaryspaceusage,sqm,sqft,lat,lng,timezone,electricity,hotwater,chilledwater,steam,water,irrigation,solar,gas,industry,subindustry,heatingtype,yearbuilt,date_opened,numberoffloors,occupants,energystarscore,eui,site_eui,source_eui,leed_level,rating,climate_zone
Peacock_lodging_Jamaal,Peacock,787.0,6.0,Lodging/residential,Dormitory,25900.9,278795.0,40.349999999999966,-74.69999999999995,US/Eastern,Yes,,Yes,Yes,,,,,Education,College/University,,,,,,,,,,,,Cold
Hog_lodging_Shanti,Hog,1154.0,13.0,Lodging/residential,Dormitory,24355.1,262156.0,44.97878184783975,-93.2553976421019,US/Central,Yes,,Yes,Yes,,,,,,,,,,,,48,129.4,188.6,130,,,Cold
Hog_lodging_Ora,Hog,1091.0,13.0,Lodging/residential,Dormitory,21678.1,233341.0,44.97878184783975,-93.2553976421019,US/Central,Yes,,Yes,Yes,,,,,,,,,,,,51,113.1,182.2,113.8,,,Cold
Hog_lodging_Shonda,Hog,1070.0,13.0,Lodging/residential,Dormitory,21437.1,230747.0,44.97878184783975,-93.2553976421019,US/Central,Yes,,Yes,Yes,,,,,,,,,,,,54,110,176.4,110.4,,,Cold
Hog_lodging_Retha,Hog,1222.0,13.0,Lodging/residential,Dormitory,17389.0,187174.0,44.97878184783975,-93.2553976421019,US/Central,Yes,,,,,,,,,,,,,,,51,101.1,187,101.1,,,Cold
Hog_lodging_Edgar,Hog,,13.0,Lodging/residential,Dormitory,16494.9,177550.0,44.97878184783975,-93.2553976421019,US/Central,Yes,,,Yes,,,,,,,,,,,,100,19.5,46.1,19.5,,,Cold
Hog_lodging_Mauricio,Hog,1100.0,13.0,Lodging/residential,Dormitory,16251.0,174924.0,44.97878184783975,-93.2553976421019,US/Central,Yes,,,Yes,,,,,,,,,,,,45,120.1,201.9,120.7,,,Cold
Cockatoo_lodging_Tessie,Cockatoo,1404.0,15.0,Lodging/residential,Dormitory,15727.5,169290.0,42.45983685925793,-76.4852915864667,US/Eastern,Yes,,Yes,Yes,,,,,Education,College/University,,2006.0,,,,,,,,,,Cold
Cockatoo_lodging_Emory,Cockatoo,1401.0,15.0,Lodging/residential,Dormitory,15681.2,168791.0,42.45983685925793,-76.4852915864667,US/Eastern,Yes,,Yes,,,,,,Education,College/University,,1946.0,,,,,,,,,,Cold
Cockatoo_lodging_Cletus,Cockatoo,1399.0,15.0,Lodging/residential,Dormitory,15497.5,166814.0,42.45983685925793,-76.4852915864667,US/Eastern,Yes,,Yes,Yes,,,,,Education,College/University,,1929.0,,,,,,,,,,Cold
Hog_lodging_Francisco,Hog,1186.0,13.0,Lodging/residential,Dormitory,14592.3,157070.0,44.97878184783975,-93.2553976421019,US/Central,Yes,,,Yes,,,,,,,,,,,,51,120,190.6,121.6,,,Cold
Hog_lodging_Hal,Hog,1124.0,13.0,Lodging/residential,Dormitory,14241.9,153299.0,44.97878184783975,-93.2553976421019,US/Central,Yes,,,Yes,,,,,,,,,,,,54,110.8,184.7,109.1,,,Cold
Cockatoo_lodging_Elvia,Cockatoo,1440.0,15.0,Lodging/residential,Hotel,13962.8,150294.0,42.45983685925793,-76.4852915864667,US/Eastern,Yes,,,Yes,,,,,Education,College/University,,1987.0,,,,,,,,,,Cold
Cockatoo_lodging_Kyle,Cockatoo,1405.0,15.0,Lodging/residential,Dormitory,13275.9,142901.0,42.45983685925793,-76.4852915864667,US/Eastern,Yes,,Yes,Yes,,,,,Education,College/University,,2007.0,,,,,,,,,,Cold
Hog_lodging_Brian,Hog,1203.0,13.0,Lodging/residential,Dormitory,12876.5,138602.0,44.97878184783975,-93.2553976421019,US/Central,Yes,,Yes,Yes,,,,,,,,,,,,61,115,170,115.7,,,Cold
Cockatoo_lodging_Lynne,Cockatoo,1406.0,15.0,Lodging/residential,Dormitory,12683.3,136522.0,42.45983685925793,-76.4852915864667,US/Eastern,Yes,,Yes,Yes,,,,,Education,College/University,,2005.0,,,,,,,,,,Cold
Cockatoo_lodging_Javier,Cockatoo,1402.0,15.0,Lodging/residential,Dormitory,12411.3,133594.0,42.45983685925793,-76.4852915864667,US/Eastern,Yes,,,Yes,,,,,Education,College/University,,1961.0,,,,,,,,,,Cold
Cockatoo_lodging_Homer,Cockatoo,1365.0,15.0,Lodging/residential,Dormitory,12046.2,129664.0,42.45983685925793,-76.4852915864667,US/Eastern,Yes,,,,,,,,Education,College/University,,1941.0,,,,,,,,,,Cold
Peacock_lodging_Lou,Peacock,781.0,6.0,Lodging/residential,Dormitory,11895.7,128044.0,40.349999999999966,-74.69999999999995,US/Eastern,Yes,,,,,,,,Education,College/University,,,,,,,,,,,,Cold
Hog_lodging_Celeste,Hog,1076.0,13.0,Lodging/residential,Dormitory,10874.7,117054.0,44.97878184783975,-93.2553976421019,US/Central,Yes,,,Yes,,,,,,,,,,,,82,80.1,134.9,81.2,,,Cold
Peacock_lodging_Sergio,Peacock,779.0,6.0,Lodging/residential,Dormitory,10498.0,113000.0,40.349999999999966,-74.69999999999995,US/Eastern,Yes,,Yes,Yes,,,,,Education,College/University,,,,,,,,,,,,Cold
Peacock_lodging_Wes,Peacock,777.0,6.0,Lodging/residential,Dormitory,9828.3,105791.0,40.349999999999966,-74.69999999999995,US/Eastern,Yes,,Yes,Yes,,,,,Education,College/University,,,,,,,,,,,,Cold
Robin_lodging_Elmer,Robin,129.0,1.0,Lodging/residential,Dormitory,9565.0,102957.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,,,,,,,,Education,College/University,Gas,1968.0,,7.0,,,,,,,G,Cold
Robin_lodging_Renea,Robin,128.0,1.0,Lodging/residential,Dormitory,9548.0,102774.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,,,,,,,,Education,College/University,Gas,1956.0,,7.0,,,,,,,E,Cold
Cockatoo_lodging_Albert,Cockatoo,1395.0,15.0,Lodging/residential,Dormitory,9162.5,98624.0,42.45983685925793,-76.4852915864667,US/Eastern,Yes,,Yes,Yes,,,,,Education,College/University,,,,,,,,,,,,Cold
Cockatoo_lodging_Kerri,Cockatoo,1396.0,15.0,Lodging/residential,Dormitory,8949.9,96336.0,42.45983685925793,-76.4852915864667,US/Eastern,Yes,,Yes,Yes,,,,,Education,College/University,,1913.0,,,,,,,,,,Cold
Peacock_lodging_Matthew,Peacock,774.0,6.0,Lodging/residential,Dormitory,8686.4,93500.0,40.349999999999966,-74.69999999999995,US/Eastern,Yes,,Yes,Yes,,,,,Education,College/University,,,,,,,,,,,,Cold
Peacock_lodging_Mathew,Peacock,773.0,6.0,Lodging/residential,Dormitory,8669.1,93313.0,40.349999999999966,-74.69999999999995,US/Eastern,Yes,,,Yes,,,,,Education,College/University,,,,,,,,,,,,Cold
Cockatoo_lodging_Raphael,Cockatoo,1407.0,15.0,Lodging/residential,Dormitory,7724.0,83141.0,42.45983685925793,-76.4852915864667,US/Eastern,Yes,,Yes,,,,,,Education,College/University,,2006.0,,,,,,,,,,Cold
Robin_lodging_Celia,Robin,132.0,1.0,Lodging/residential,Dormitory,7721.0,83108.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,,,,,,,,Education,College/University,Gas,1995.0,,8.0,,,,,,,D,Cold
Peacock_lodging_James,Peacock,771.0,6.0,Lodging/residential,Dormitory,7702.7,82911.0,40.349999999999966,-74.69999999999995,US/Eastern,Yes,,Yes,Yes,,,,,Education,College/University,,,,,,,,,,,,Cold
Cockatoo_lodging_Josephine,Cockatoo,1403.0,15.0,Lodging/residential,Dormitory,7287.1,78438.0,42.45983685925793,-76.4852915864667,US/Eastern,Yes,,,,,,,,Education,College/University,,2004.0,,,,,,,,,,Cold
Hog_lodging_Nikki,Hog,1184.0,13.0,Lodging/residential,Dormitory,6929.1,74584.0,44.97878184783975,-93.2553976421019,US/Central,Yes,,,Yes,,,,,,,,,,,,84,68.7,124.3,69.5,,,Cold
Robin_lodging_Janie,Robin,131.0,1.0,Lodging/residential,Dormitory,6193.0,66661.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,,,,,,,,Education,College/University,Electric,1930.0,,7.0,,,,,,,E,Cold
Robin_lodging_Phillip,Robin,135.0,1.0,Lodging/residential,Dormitory,6181.0,66532.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,,,,,,,,Education,College/University,Gas,1967.0,,10.0,,,,,,,D,Cold
Cockatoo_lodging_Jim,Cockatoo,1413.0,15.0,Lodging/residential,Dormitory,6131.5,65999.0,42.45983685925793,-76.4852915864667,US/Eastern,Yes,,Yes,Yes,,,,,Education,College/University,,1975.0,,,,,,,,,,Cold
Cockatoo_lodging_Jarrod,Cockatoo,1414.0,15.0,Lodging/residential,Dormitory,6100.3,65663.0,42.45983685925793,-76.4852915864667,US/Eastern,Yes,,Yes,Yes,,,,,Education,College/University,,1975.0,,,,,,,,,,Cold
Robin_lodging_Oliva,Robin,133.0,1.0,Lodging/residential,Dormitory,6013.0,64723.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,,,,,,,,Education,College/University,Gas,1960.0,,8.0,,,,,,,C,Cold
Robin_lodging_Dorthy,Robin,130.0,1.0,Lodging/residential,Dormitory,5842.9,62893.0,51.51878965384613,-0.1345562307692307,Europe/London,Yes,,,,,,,,Education,College/University,Gas,1960.0,,16.0,,,,,,,F,Cold
Cockatoo_lodging_Katharine,Cockatoo,1358.0,15.0,Lodging/residential,Dormitory,5707.9,61439.0,42.45983685925793,-76.4852915864667,US/Eastern,Yes,,Yes,Yes,,,,,Education,College/University,,1903.0,,,,,,,,,,Cold
