timestamp,building_id,meter_reading,airTemperature,cloudCoverage,dewTemperature,seaLvlPressure,windSpeed,hour,day_of_week,month,day_of_year,sqm,yearbuilt,climate_zone
2016-01-01 03:00:00,Panther_lodging_Kirk,9.7519,20.6,6.0,20.0,1018.1,0.0,3,5,1,1,18667.3,2006.0,Hot-Humid
2016-01-01 07:00:00,Panther_lodging_Kirk,12.9025,18.9,6.0,18.9,1019.2,1.5,7,5,1,1,18667.3,2006.0,Hot-Humid
2016-01-01 11:00:00,Panther_lodging_Kirk,18.0035,26.1,6.142857142857143,20.0,1020.2,4.1,11,5,1,1,18667.3,2006.0,Hot-Humid
2016-01-02 11:00:00,Panther_lodging_Kirk,16.5032,17.8,6.285714285714286,13.3,1021.5,3.6,11,6,1,2,18667.3,2006.0,Hot-Humid
2016-01-02 12:00:00,Panther_lodging_Kirk,18.4035,19.4,6.428571428571429,11.7,1020.4,3.6,12,6,1,2,18667.3,2006.0,Hot-Humid
2016-01-02 14:00:00,Panther_lodging_Kirk,16.9533,22.2,6.428571428571429,12.8,1017.6,3.1,14,6,1,2,18667.3,2006.0,Hot-Humid
2016-01-02 23:00:00,Panther_lodging_Kirk,16.5032,16.7,6.428571428571429,12.8,1018.3,5.1,23,6,1,2,18667.3,2006.0,Hot-Humid
2016-01-03 06:00:00,Panther_lodging_Kirk,20.0039,14.4,6.428571428571429,12.2,1016.9,4.1,6,7,1,3,18667.3,2006.0,Hot-Humid
2016-01-03 12:00:00,Panther_lodging_Kirk,20.4039,13.3,6.428571428571429,12.2,1016.9,4.6,12,7,1,3,18667.3,2006.0,Hot-Humid
2016-01-04 02:00:00,Panther_lodging_Kirk,21.6042,10.0,6.428571428571429,7.8,1014.2,5.1,2,1,1,4,18667.3,2006.0,Hot-Humid
2016-01-06 05:00:00,Panther_lodging_Kirk,30.0058,13.3,6.428571428571429,11.7,1022.1,5.1,5,3,1,6,18667.3,2006.0,Hot-Humid
2016-01-06 11:00:00,Panther_lodging_Kirk,38.3574,15.0,6.428571428571429,13.3,1023.3,4.6,11,3,1,6,18667.3,2006.0,Hot-Humid
2016-01-06 16:00:00,Panther_lodging_Kirk,19.0537,18.9,6.428571428571429,15.0,1018.0,8.2,16,3,1,6,18667.3,2006.0,Hot-Humid
2016-01-07 02:00:00,Panther_lodging_Kirk,20.804,14.4,6.428571428571429,13.3,1018.0,4.1,2,4,1,7,18667.3,2006.0,Hot-Humid
2016-01-07 17:00:00,Panther_lodging_Kirk,14.4028,21.1,6.428571428571429,15.0,1013.8,2.6,17,4,1,7,18667.3,2006.0,Hot-Humid
2016-01-08 13:00:00,Panther_lodging_Kirk,20.1039,18.3,8.0,17.2,1012.6,4.1,13,5,1,8,18667.3,2006.0,Hot-Humid
2016-01-09 09:00:00,Panther_lodging_Kirk,14.5528,15.6,9.0,15.6,1013.8,0.0,9,6,1,9,18667.3,2006.0,Hot-Humid
2016-01-09 11:00:00,Panther_lodging_Kirk,20.1039,16.7,7.75,16.7,1013.3,0.0,11,6,1,9,18667.3,2006.0,Hot-Humid
2016-01-09 20:00:00,Panther_lodging_Kirk,27.6053,19.4,6.5,17.8,1010.0,3.6,20,6,1,9,18667.3,2006.0,Hot-Humid
2016-01-10 15:00:00,Panther_lodging_Kirk,24.4547,17.8,5.25,11.7,1014.3,5.1,15,7,1,10,18667.3,2006.0,Hot-Humid
2016-01-10 19:00:00,Panther_lodging_Kirk,31.206,14.4,4.0,9.4,1017.2,4.6,19,7,1,10,18667.3,2006.0,Hot-Humid
2016-01-11 03:00:00,Panther_lodging_Kirk,21.6042,10.6,4.0,6.7,1019.6,5.1,3,1,1,11,18667.3,2006.0,Hot-Humid
2016-01-11 05:00:00,Panther_lodging_Kirk,20.4039,8.3,4.0,3.3,1020.2,4.1,5,1,1,11,18667.3,2006.0,Hot-Humid
2016-01-12 17:00:00,Panther_lodging_Kirk,28.4055,16.7,4.0,-4.4,1020.6,3.1,17,2,1,12,18667.3,2006.0,Hot-Humid
2016-01-13 04:00:00,Panther_lodging_Kirk,26.005,9.4,4.0,1.1,1022.8,3.6,4,3,1,13,18667.3,2006.0,Hot-Humid
2016-01-14 08:00:00,Panther_lodging_Kirk,20.554,9.4,4.0,2.2,1021.7,3.6,8,4,1,14,18667.3,2006.0,Hot-Humid
2016-01-14 13:00:00,Panther_lodging_Kirk,32.4063,20.0,4.0,8.9,1020.2,3.6,13,4,1,14,18667.3,2006.0,Hot-Humid
2016-01-14 14:00:00,Panther_lodging_Kirk,28.8056,21.1,4.0,8.9,1018.8,3.6,14,4,1,14,18667.3,2006.0,Hot-Humid
2016-01-15 06:00:00,Panther_lodging_Kirk,12.6024,17.8,4.0,17.2,1010.1,4.6,6,5,1,15,18667.3,2006.0,Hot-Humid
2016-01-15 11:00:00,Panther_lodging_Kirk,26.8052,20.0,4.0,19.4,1007.8,6.7,11,5,1,15,18667.3,2006.0,Hot-Humid
2016-01-15 15:00:00,Panther_lodging_Kirk,25.2049,23.9,4.0,13.9,1005.1,9.8,15,5,1,15,18667.3,2006.0,Hot-Humid
2016-01-15 18:00:00,Panther_lodging_Kirk,14.4028,20.6,5.0,11.7,1007.3,5.1,18,5,1,15,18667.3,2006.0,Hot-Humid
2016-01-15 19:00:00,Panther_lodging_Kirk,15.1529,18.9,6.0,11.7,1008.2,3.6,19,5,1,15,18667.3,2006.0,Hot-Humid
2016-01-15 22:00:00,Panther_lodging_Kirk,20.1039,16.7,4.0,13.3,1010.4,3.1,22,5,1,15,18667.3,2006.0,Hot-Humid
2016-01-16 21:00:00,Panther_lodging_Kirk,29.6057,17.2,4.0,12.2,1010.1,4.1,21,6,1,16,18667.3,2006.0,Hot-Humid
2016-01-17 02:00:00,Panther_lodging_Kirk,11.5522,14.4,4.0,13.3,1004.4,2.1,2,7,1,17,18667.3,2006.0,Hot-Humid
2016-01-17 13:00:00,Panther_lodging_Kirk,16.8033,17.2,4.0,9.4,1010.0,9.3,13,7,1,17,18667.3,2006.0,Hot-Humid
2016-01-17 17:00:00,Panther_lodging_Kirk,13.9527,15.6,2.0,6.7,1013.3,5.7,17,7,1,17,18667.3,2006.0,Hot-Humid
2016-01-18 01:00:00,Panther_lodging_Kirk,25.6049,10.0,0.0,5.0,1018.2,3.6,1,1,1,18,18667.3,2006.0,Hot-Humid
2016-01-18 11:00:00,Panther_lodging_Kirk,53.6604,12.2,2.0,0.6,1024.1,4.6,11,1,1,18,18667.3,2006.0,Hot-Humid
2016-01-18 20:00:00,Panther_lodging_Kirk,35.6069,11.7,2.8,-0.6,1025.3,3.1,20,1,1,18,18667.3,2006.0,Hot-Humid
2016-01-18 23:00:00,Panther_lodging_Kirk,34.0066,10.0,3.6,0.6,1026.9,4.6,23,1,1,18,18667.3,2006.0,Hot-Humid
