Feature,Importance_Mean,Importance_Std
Appliances_roll6_mean,1.671235180290287,0.029835971087600954
Appliances_lag3,0.36738674429084645,0.011931636494821837
Appliances_lag1,0.24388179248364933,0.008259927747962421
Appliances_lag2,0.18629903914174545,0.0058145139889717486
hour_cos,0.022103591695418878,0.0022765517485052425
RH_1,0.011141366520312213,0.0011454004588935737
hour_sin,0.007404457572404299,0.001198436738389214
T3,0.00405315479064765,0.0017307064069163355
T5,0.0036938532429515837,0.0008890638138400692
T9,0.003484278493649329,0.0006148365104919881
T_out,0.0025021721529228324,0.0005271766690149532
T4,0.0022099910934108347,0.0006923432830161832
RH_9,0.0020450416085614153,0.0007155917579596083
T2,0.001590829089197754,0.0009416303633184008
RH_5,0.0015678469943859797,0.0007624378696356815
RH_3,0.0013987937149293693,0.0006391385368477848
RH_2,0.001292099264849178,0.0008329148469910754
RH_8,0.0012599293375696874,0.0010565983015184504
DeltaT,0.001154076550686911,0.0008399665452042258
T1,0.0010243954471539029,0.0006252446384456569
T7,0.0009913933821370734,0.0006026966346259776
Tdewpoint,0.000711548766155401,0.0004982930148080884
Windspeed,0.000690149045296562,0.0006635336871956604
T6,0.0006241259977745383,0.0005556775009491307
RH_7,0.0005191138728699918,0.00042484176653314937
RH_4,0.0003658906310755161,0.0006525024086380956
RH_6,0.0003375921757794331,0.0004264783126126032
T_indoor_avg,0.0003248928279847241,0.0005889289396863496
Visibility,0.00023090782179945312,0.001180006037888843
dow_cos,-9.584708163556943e-05,0.00030002628823329227
dow_sin,-0.00016359293426201348,0.0007154779566451275
RH_out,-0.00028312878791896255,0.0005392404752104082
Press_mm_hg,-0.0006487675757556044,0.0011097190378872028
T8,-0.0016353030401776714,0.0007427966608863986
