Outer_Fold,Model,Train_RMSE,Train_R2,Test_RMSE,Test_MAE,Test_R2,N_Train,N_Test
1,Ridge,69.78323114783221,0.6773572482571077,69.9795426803975,38.4611176011139,0.5018603532460311,3284,3283
1,RF,36.22822117819838,0.9130411505652133,80.26111144822032,46.76657781303246,0.3447315658993144,3284,3283
1,XGB,8.387972222350864,0.9953384399414062,86.82912176636793,57.34184646606445,0.2330983281135559,3284,3283
1,LGBM,29.905428355139378,0.9407457072459416,73.68005250554721,43.71904873315045,0.44778428488992206,3284,3283
2,Ridge,68.72175768205877,0.621045919329328,68.49033615770786,36.75117911712407,0.5542943266062861,6567,3283
2,RF,41.503150878651745,0.861783398982592,79.6136451990899,40.11372291942286,0.39776695104103665,6567,3283
2,XGB,15.756180776635423,0.9800795316696167,81.18411691854355,52.71818923950195,0.37377315759658813,6567,3283
2,LGBM,36.21710074830372,0.8947491933914625,66.54523089551085,32.204975200940844,0.5792506639769197,6567,3283
3,Ridge,68.02874476060693,0.6084365324422203,62.65173374083723,27.340321698161723,0.6003301240136001,9850,3283
3,RF,42.847402118161675,0.8446661017935203,72.90957891624616,36.239338946311015,0.45874190011677207,9850,3283
3,XGB,20.410772643204325,0.9647518396377563,87.57200441368948,55.44117736816406,0.21915322542190552,9850,3283
3,LGBM,39.68283517246129,0.8667636775734906,63.65274554527049,33.365656302613765,0.5874567264901499,9850,3283
4,Ridge,66.64249695951808,0.6076555666491772,63.05545946104444,28.53809006224003,0.5851720298067357,13133,3283
4,RF,42.97850156312421,0.8368197804454656,78.59746582238759,38.372646451934195,0.3554750566644014,13133,3283
4,XGB,24.157475409571724,0.9484453201293945,81.17116668362756,49.65224838256836,0.31257355213165283,13133,3283
4,LGBM,41.3100128791661,0.8492436430131196,63.519091070365654,30.599743033430972,0.5790493425900465,13133,3283
5,Ridge,65.87782697390044,0.6044890540737345,60.1359926831692,27.327564044384935,0.5534798596862452,16416,3283
5,RF,43.68800005763223,0.8260580617996658,90.60680570310367,55.4913078859057,-0.01366330098991897,16416,3283
5,XGB,26.341879057598685,0.9367626905441284,167.66043505960195,127.74783325195312,-2.4708292484283447,16416,3283
5,LGBM,42.45440860073179,0.8357423641722175,68.32612371783091,45.21204955888432,0.42357122855057294,16416,3283
