Variable,Unit,Count,Mean,Median,Std,Min,Max,Range,IQR,Skewness,Kurtosis,CV%
Energy_Appliances_Wh,Wh,19735,97.6949581960983,60.0,102.52489053740624,10.0,1080.0,1070.0,50.0,3.386109821377423,13.664096671048856,104.94389109785283
Energy_Lights_Wh,Wh,19735,3.8018748416518875,0.0,7.935987600215888,0.0,70.0,70.0,0.0,2.1949881898216193,4.460712170169498,208.73879153706588
T_Kitchen,°C,19735,21.686571386747417,21.6,1.606065644813958,16.79,26.26,9.470000000000002,1.8399999999999999,0.12090792663244154,0.16125631985569822,7.405807106029766
T_LivingRoom,°C,19735,20.341219463847917,20.0,2.192973533521989,16.1,29.8566666666667,13.7566666666667,2.710000000000001,0.8895902281639272,0.9328564489225406,10.780934434238427
T_LaundryRoom,°C,19735,22.267610984878942,22.1,2.0061105361434723,17.2,29.236,12.036000000000001,2.5,0.45074307210219183,-0.007357478147985486,9.009096384456074
T_Office,°C,19735,20.855334722409587,20.6666666666667,2.042884476985463,15.1,26.2,11.1,2.5700000000000003,0.1703711064894543,-0.03792769070006363,9.795500787577058
T_Bathroom,°C,19735,19.5921063280172,19.39,1.8446232735006063,15.33,25.795,10.465000000000002,2.34214285714285,0.558177269273308,0.11239109586345464,9.415135068263432
T_IroningRoom,°C,19735,20.267106470135438,20.033333333333296,2.109993324051781,15.39,26.0,10.61,2.900000000000002,0.25470305582303954,-0.4613518752625141,10.41092534428118
T_TeenagerRoom,°C,19735,22.029106722979208,22.1,1.9561617218041771,16.3066666666667,27.23,10.9233333333333,2.6000000000000014,-0.2561316660646382,-0.15900552892812803,8.87989579606352
T_ParentsRoom,°C,19735,19.485828160608307,19.39,2.0147123860744838,14.89,24.5,9.61,2.6000000000000014,0.3826821496468973,-0.32484705837481265,10.339372642869435
T_BuildingNorth,°C,19735,7.910939332403423,7.3,6.090346609884242,-6.065,28.29,34.355,7.62933333333333,0.5974259265425524,0.42513701194606046,76.98639003510009
T_Outdoor_Weather,°C,19735,7.4116645553585006,6.91666666666667,5.317408805653686,-5.0,26.1,31.1,6.741666666666679,0.5342320205559038,0.36389465646705066,71.74378664788999
T_DewPoint,°C,19735,3.760706865974157,3.43333333333333,4.194647835033515,-6.6,15.5,22.1,5.66666666666667,0.2393558820613176,-0.12479126822776143,111.5388139656812
RH_Kitchen,%,19735,40.259739279782515,39.6566666666667,3.9792988304355776,27.0233333333333,63.36,36.3366666666667,5.733333333333405,0.46573835356515614,0.11229615128476933,9.88406507747527
RH_LivingRoom,%,19735,40.42042041370503,40.5,4.069812540449692,20.463333333333296,56.0266666666667,35.563333333333404,5.359999999999999,-0.2682267843236714,0.670485381062933,10.068704132205841
RH_LaundryRoom,%,19735,39.24250007720549,38.53,3.254576492620411,28.7666666666667,50.1633333333333,21.396666666666597,4.859999999999999,0.4675535391148617,-0.5832822279411083,8.29349935966713
RH_Office,%,19735,39.02690378814384,38.4,4.34132065313902,27.66,51.09,23.430000000000003,6.626666666666701,0.4445805446488185,-0.6141152382293948,11.123917686900619
RH_Bathroom,%,19735,50.949282629621024,49.09,9.022034306523494,29.815,96.3216666666667,66.5066666666667,8.2633333333333,1.866678124986552,4.501945654247686,17.707873086476475
RH_IroningRoom,%,19735,35.388200215083586,34.8633333333333,5.114208029896705,23.2,51.4,28.2,7.5,0.2421224241409417,-0.5450550073347853,14.45173249505033
RH_TeenagerRoom,%,19735,42.93616537238735,42.375,5.224360679597521,29.6,58.78,29.18,7.469333333333303,0.30801220152548026,-0.48214434515026783,12.167739327176518
RH_ParentsRoom,%,19735,41.552400753374975,40.9,4.151497323850506,29.1666666666667,53.3266666666667,24.160000000000004,5.8380952380951925,0.3689090008257161,-0.40574144689613867,9.990992694960743
RH_BuildingNorth,%,19735,54.609083387582494,55.29,31.149805875511532,1.0,99.9,98.9,53.2016666666667,-0.24194280929588727,-1.1420789887310685,57.04143696100685
RH_Outdoor_Weather,%,19735,79.75041803901698,83.6666666666667,14.901087557526917,24.0,100.0,76.0,21.3333333333334,-0.9229270914681813,0.25649033162808577,18.684651345948723
Pressure_mmHg,mmHg,19735,755.5226019761844,756.1,7.399440659853587,729.2999999999998,772.2999999999998,43.0,10.0,-0.4204095610221547,0.07150867395006388,0.9793804501015883
WindSpeed_ms,m/s,19735,4.0397517101596145,3.6666666666666705,2.45122060573431,0.0,14.0,14.0,3.5,0.8599167345022681,0.24966222596449716,60.67750648065101
Visibility_km,km,19735,38.33083354446415,40.0,11.79471875736811,1.0,66.0,65.0,11.0,0.4415208997975871,0.16547235892029333,30.770838165275265
